timestamp;productivity;A2;A3
2022-02-28;1.38;3.0;12.58
2022-03-01;2.201;0.0;0.0
2022-03-02;2.242;9.56;9.34
2022-03-03;1.908;7.53;0.0
2022-03-04;1.736;0.0;6.04
2022-03-05;1.211;0.0;0.0
2022-03-06;1.282;14.66;0.0
2022-03-07;1.656;2.99;12.58
2022-03-08;2.642;0.0;0.0
2022-03-09;2.913;9.55;9.35
2022-03-10;2.255;7.53;0.0
2022-03-11;2.052;0.0;6.04
2022-03-12;1.541;0.0;0.0
2022-03-13;1.496;14.66;0.0
2022-03-14;1.931;2.99;12.57
2022-03-15;3.303;0.0;0.0
2022-03-16;3.364;9.55;9.34
2022-03-17;2.602;7.54;0.0
2022-03-18;2.525;0.0;6.03
2022-03-19;1.761;0.0;0.0
2022-03-20;1.71;14.66;0.0
